instrument,signal_column,training_end,date,close,primary_signal,vol,tp,sl,timeout_date,timeout_close,touch_date,touch_price,touched_barrier,triple_barrier_label,metalabel,volatility_method,ewma_span,volatility_window,num_days,take_profit_mult,stop_loss_mult,holding_period_days,raw_touch_return,signed_touch_return
cl1s,cl1s,2022-01-01,2020-01-07,25.41161824,-1,0.019602498537770834,24.415355821216018,26.40788065878398,2020-01-22,22.98425454,2020-01-08,24.15927533,lower,-1,1,ewma,100,20,10,2.0,2.0,1,-0.04928229671059314,0.04928229671059314
cl1s,cl1s,2022-01-01,2020-01-22,22.98425454,-1,0.01963549934740392,22.081639909958525,23.88686917004147,2020-02-05,20.55782373,2020-01-24,21.95129986,lower,-1,1,ewma,100,20,10,2.0,2.0,2,-0.0449418395624851,0.0449418395624851
cl1s,cl1s,2022-01-01,2020-01-23,22.51841223,-1,0.019641329841576967,21.633829105763937,23.40299535423606,2020-02-06,20.63883978,2020-01-27,21.52596557,lower,-1,1,ewma,100,20,10,2.0,2.0,4,-0.04407267483441035,0.04407267483441035
cl1s,cl1s,2022-01-01,2020-01-24,21.95129986,-1,0.019750105588629212,21.084218879914676,22.81838084008532,2020-02-07,20.38363921,2020-01-31,20.88593874,lower,-1,1,ewma,100,20,10,2.0,2.0,7,-0.04853294004430764,0.04853294004430764
cl1s,cl1s,2022-01-01,2020-01-27,21.52596557,-1,0.01971953717708591,20.67700141333943,22.374929726660575,2020-02-10,20.07982901,2020-02-03,20.29857235,lower,-1,1,ewma,100,20,10,2.0,2.0,7,-0.05701919460981464,0.05701919460981464
cl1s,cl1s,2022-01-01,2020-01-28,21.66369286,-1,0.01955601256154131,20.816381960600935,22.511003759399063,2020-02-11,20.22970871,2020-02-03,20.29857235,lower,-1,1,ewma,100,20,10,2.0,2.0,6,-0.06301421086524772,0.06301421086524772
cl1s,cl1s,2022-01-01,2020-01-29,21.60293082,-1,0.019362241932059262,20.766368474043244,22.43949316595676,2020-02-12,20.72795744,2020-02-03,20.29857235,lower,-1,1,ewma,100,20,10,2.0,2.0,5,-0.06037877364271449,0.06037877364271449
cl1s,cl1s,2022-01-01,2020-01-30,21.1208853,-1,0.019393921412637093,20.30165172065296,21.940118879347043,2020-02-13,20.82922751,2020-02-03,20.29857235,lower,-1,1,ewma,100,20,10,2.0,2.0,4,-0.03893364024849855,0.03893364024849855
cl1s,cl1s,2022-01-01,2020-01-31,20.88593874,-1,0.019244200390115818,20.082072359103513,21.689805120896487,2020-02-14,21.09533843,2020-02-10,20.07982901,lower,-1,1,ewma,100,20,10,2.0,2.0,10,-0.038595810321714996,0.038595810321714996
cl1s,cl1s,2022-01-01,2020-02-05,20.55782373,1,0.01938296294970577,21.354766801370342,19.760880658629656,2020-02-20,21.72432788,2020-02-19,21.56708051,upper,1,1,ewma,100,20,10,2.0,2.0,14,0.04909356132513154,0.04909356132513154
cl1s,cl1s,2022-01-01,2020-02-06,20.63883978,1,0.019210059193997465,21.43178644773846,19.845893112261543,2020-02-21,21.52272869,2020-02-19,21.56708051,upper,1,1,ewma,100,20,10,2.0,2.0,13,0.04497543175365437,0.04497543175365437
cl1s,cl1s,2022-01-01,2020-02-07,20.38363921,1,0.01907293931963315,21.16119103753125,19.606087382468747,2020-02-24,20.73649188,2020-02-19,21.56708051,upper,1,1,ewma,100,20,10,2.0,2.0,12,0.058058391232681306,0.058058391232681306
cl1s,cl1s,2022-01-01,2020-02-10,20.07982901,1,0.018965620205479716,20.84148183158927,19.318176188410735,2020-02-25,20.11959838,2020-02-14,21.09533843,upper,1,1,ewma,100,20,10,2.0,2.0,4,0.05057360894329643,0.05057360894329643
