instrument,signal_column,training_end,date,close,primary_signal,vol,tp,sl,timeout_date,timeout_close,touch_date,touch_price,touched_barrier,triple_barrier_label,metalabel,volatility_method,ewma_span,volatility_window,num_days,take_profit_mult,stop_loss_mult,holding_period_days,raw_touch_return,signed_touch_return
ho1s,ho1s,2022-01-01,2020-01-21,1.62481978,1,0.018119660438552627,1.6837021453748875,1.5659374146251124,2020-02-04,1.40481055,2020-01-24,1.54095451,lower,-1,0,garman_klass,100,20,10,2.0,2.0,3,-0.0516151212782503,-0.0516151212782503
ho1s,ho1s,2022-01-01,2020-01-23,1.59142091,1,0.018853171849348864,1.6514275738017543,1.5314142461982458,2020-02-06,1.47709546,2020-01-27,1.49261675,lower,-1,0,garman_klass,100,20,10,2.0,2.0,4,-0.062085498172824716,-0.062085498172824716
ho1s,ho1s,2022-01-01,2020-01-31,1.444279,1,0.021679150834211704,1.5069004845753688,1.3816575154246313,2020-02-14,1.5061868,2020-02-14,1.5061868,timeout,0,0,garman_klass,100,20,10,2.0,2.0,14,0.042864155748300714,0.042864155748300714
ho1s,ho1s,2022-01-01,2020-02-03,1.39948896,1,0.021328808339931775,1.4591878236033808,1.3397900963966192,2020-02-18,1.48330398,2020-02-05,1.45935683,upper,1,1,garman_klass,100,20,10,2.0,2.0,2,0.04277837961651376,0.04277837961651376
ho1s,ho1s,2022-01-01,2020-02-04,1.40481055,1,0.02107639450179215,1.4640272327041592,1.345593867295841,2020-02-19,1.51381441,2020-02-06,1.47709546,upper,1,1,garman_klass,100,20,10,2.0,2.0,2,0.051455272741224745,0.051455272741224745
ho1s,ho1s,2022-01-01,2020-03-09,1.03433707,1,0.030360335718914454,1.0971427113834369,0.9715314286165635,2020-03-23,0.90376635,2020-03-10,1.11171889,upper,1,1,garman_klass,100,20,10,2.0,2.0,1,0.07481296208401367,0.07481296208401367
ho1s,ho1s,2022-01-01,2020-04-15,0.80619064,-1,0.05736423465012959,0.7136976219086036,0.8986836580913963,2020-04-29,0.63981774,2020-04-21,0.64130004,lower,-1,1,garman_klass,100,20,10,2.0,2.0,6,-0.20453053138895283,0.20453053138895283
ho1s,ho1s,2022-01-01,2020-04-16,0.83486343,-1,0.056205021434420285,0.7410163960440727,0.9287104639559273,2020-04-30,0.68601307,2020-04-21,0.64130004,lower,-1,1,garman_klass,100,20,10,2.0,2.0,5,-0.23185036383735247,0.23185036383735247
ho1s,ho1s,2022-01-01,2020-04-21,0.64130004,1,0.05786124450916131,0.7155128768363498,0.5670872031636501,2020-05-05,0.73780784,2020-05-05,0.73780784,upper,1,1,garman_klass,100,20,10,2.0,2.0,14,0.15048774985262758,0.15048774985262758
ho1s,ho1s,2022-01-01,2020-05-18,0.82871631,-1,0.06565984387620744,0.7198895429354666,0.9375430770645335,2020-06-02,0.85913045,2020-06-02,0.85913045,timeout,0,0,garman_klass,100,20,10,2.0,2.0,15,0.036700303388502054,-0.036700303388502054
ho1s,ho1s,2022-01-01,2020-05-20,0.81570586,-1,0.05459510465402112,0.7266387664128034,0.9047729535871967,2020-06-04,0.84497026,2020-06-04,0.84497026,timeout,0,0,garman_klass,100,20,10,2.0,2.0,15,0.03587616742142807,-0.03587616742142807
ho1s,ho1s,2022-01-01,2020-07-01,0.93442002,-1,0.02984311369467438,0.8786480142091202,0.9901920257908798,2020-07-16,0.95646411,2020-07-16,0.95646411,timeout,0,0,garman_klass,100,20,10,2.0,2.0,15,0.023591200453945804,-0.023591200453945804
ho1s,ho1s,2022-01-01,2020-07-10,0.96682405,-1,0.02648508730478874,0.9156112112547612,1.018036888745239,2020-07-24,0.97849834,2020-07-24,0.97849834,timeout,0,0,garman_klass,100,20,10,2.0,2.0,14,0.012074885807815683,-0.012074885807815683
